task,num_classes,raw_class_entropy,normalized_raw_class_entropy,mean_comment_entropy,median_comment_entropy,zero_entropy_percent,nonzero_entropy_percent,high_entropy_percent,majority_top_class_percent,top_distribution_pattern_percent,variation_score
dehumanize,5,2.310006483447604,0.9948656414184366,0.4681679745759784,0.0,57.75517433328273,42.244825666717276,31.415414199686246,24.593897069986337,14.002327817418148,2.0596127364842687
humiliate,5,2.2290679102749604,0.9600072953090709,0.42324976455127084,0.0,60.330954911188705,39.669045088811295,27.275947573503366,33.262486716259296,20.03947168665553,1.8523122696169332
insult,5,2.1114629171095416,0.9093575816403434,0.3804688384015,0.0,63.17494053944639,36.82505946055362,23.662770102727595,35.55994129851728,22.40777288598755,1.67062698681478
attack_defend,5,2.040968926520081,0.8789974724084164,0.3461309806637682,0.0,66.01892616770407,33.98107383229594,20.89975203684024,39.38059814786701,25.904559485855977,1.5148911169049868
violence,5,1.9668292733937296,0.8470672617832041,0.3534098617730852,0.0,66.09989373007438,33.900106269925615,22.043418855321086,52.56312939628561,38.444410707960124,1.3754682677291552
respect,5,1.949220911197529,0.8394837529592347,0.32179059547444744,0.0,68.46313445675825,31.53686554324174,19.715601437174232,40.95946561408836,30.36283588887202,1.3701706593491214
status,5,1.769504696981056,0.7620841923905036,0.3487242397336931,0.0,66.26182885481504,33.73817114518496,21.451343555488084,46.991549010677595,34.71484236627701,1.3155551554681568
sentiment,5,1.8663356065333554,0.8037869952316039,0.31184681238100304,0.0,69.09569353777643,30.904306462223573,18.67820454430444,42.047467233439605,31.582409797075044,1.2956348197071366
hatespeech,3,1.238725973033414,0.7815490729085357,0.22501648945225688,0.0,77.45559435251252,22.544405647487476,13.126866049289005,67.46622134507363,56.08015788674662,0.8024767004610912
genocide,5,1.4444437929759713,0.6220880810893681,0.24401465385776838,0.0,75.62370325388392,24.37629674611609,14.037751125955165,73.95374727999595,59.96154040787409,0.650627809589108
