column_name,dtype,missing_count,missing_percent,unique_values
comment_id,int32,0,0.0,39565
annotator_id,int32,0,0.0,7912
platform,int8,0,0.0,4
sentiment,float64,0,0.0,5
respect,float64,0,0.0,5
insult,float64,0,0.0,5
humiliate,float64,0,0.0,5
status,float64,0,0.0,5
dehumanize,float64,0,0.0,5
violence,float64,0,0.0,5
genocide,float64,0,0.0,5
attack_defend,float64,0,0.0,5
hatespeech,float64,0,0.0,3
hate_speech_score,float64,0,0.0,1255
text,str,0,0.0,39565
infitms,float64,0,0.0,413
outfitms,float64,0,0.0,639
annotator_severity,float64,0,0.0,245
std_err,float64,0,0.0,75
annotator_infitms,float64,0,0.0,157
annotator_outfitms,float64,0,0.0,353
hypothesis,float64,0,0.0,39460
target_race_asian,bool,0,0.0,2
target_race_black,bool,0,0.0,2
target_race_latinx,bool,0,0.0,2
target_race_middle_eastern,bool,0,0.0,2
target_race_native_american,bool,0,0.0,2
target_race_pacific_islander,bool,0,0.0,2
target_race_white,bool,0,0.0,2
target_race_other,bool,0,0.0,2
target_race,bool,0,0.0,2
target_religion_atheist,bool,0,0.0,2
target_religion_buddhist,bool,0,0.0,2
target_religion_christian,bool,0,0.0,2
target_religion_hindu,bool,0,0.0,2
target_religion_jewish,bool,0,0.0,2
target_religion_mormon,bool,0,0.0,2
target_religion_muslim,bool,0,0.0,2
target_religion_other,bool,0,0.0,2
target_religion,bool,0,0.0,2
target_origin_immigrant,bool,0,0.0,2
target_origin_migrant_worker,bool,0,0.0,2
target_origin_specific_country,bool,0,0.0,2
target_origin_undocumented,bool,0,0.0,2
target_origin_other,bool,0,0.0,2
target_origin,bool,0,0.0,2
target_gender_men,bool,0,0.0,2
target_gender_non_binary,bool,0,0.0,2
target_gender_transgender_men,bool,0,0.0,2
target_gender_transgender_unspecified,bool,0,0.0,2
target_gender_transgender_women,bool,0,0.0,2
target_gender_women,bool,0,0.0,2
target_gender_other,bool,0,0.0,2
target_gender,bool,0,0.0,2
target_sexuality_bisexual,bool,0,0.0,2
target_sexuality_gay,bool,0,0.0,2
target_sexuality_lesbian,bool,0,0.0,2
target_sexuality_straight,bool,0,0.0,2
target_sexuality_other,bool,0,0.0,2
target_sexuality,bool,0,0.0,2
target_age_children,bool,0,0.0,2
target_age_teenagers,bool,0,0.0,2
target_age_young_adults,bool,0,0.0,2
target_age_middle_aged,bool,0,0.0,2
target_age_seniors,bool,0,0.0,2
target_age_other,bool,0,0.0,2
target_age,bool,0,0.0,2
target_disability_physical,bool,0,0.0,2
target_disability_cognitive,bool,0,0.0,2
target_disability_neurological,bool,0,0.0,2
target_disability_visually_impaired,bool,0,0.0,2
target_disability_hearing_impaired,bool,0,0.0,2
target_disability_unspecific,bool,0,0.0,2
target_disability_other,bool,0,0.0,2
target_disability,bool,0,0.0,2
target_politics_alt_right,bool,0,0.0,2
target_politics_communist,bool,0,0.0,2
target_politics_conservative,bool,0,0.0,2
target_politics_democrat,bool,0,0.0,2
target_politics_green_party,bool,0,0.0,2
target_politics_leftist,bool,0,0.0,2
target_politics_liberal,bool,0,0.0,2
target_politics_libertarian,bool,0,0.0,2
target_politics_republican,bool,0,0.0,2
target_politics_socialist,bool,0,0.0,2
target_politics_other,bool,0,0.0,2
target_politics,bool,0,0.0,2
annotator_gender,str,0,0.0,5
annotator_trans,str,0,0.0,3
annotator_educ,str,17,0.01,8
annotator_income,str,103,0.08,5
annotator_ideology,str,27,0.02,8
annotator_gender_men,bool,0,0.0,2
annotator_gender_women,bool,0,0.0,2
annotator_gender_non_binary,bool,0,0.0,2
annotator_gender_prefer_not_to_say,bool,0,0.0,2
annotator_gender_self_describe,bool,0,0.0,2
annotator_transgender,bool,0,0.0,2
annotator_cisgender,bool,0,0.0,2
annotator_transgender_prefer_not_to_say,bool,0,0.0,2
annotator_education_some_high_school,bool,0,0.0,2
annotator_education_high_school_grad,bool,0,0.0,2
annotator_education_some_college,bool,0,0.0,2
annotator_education_college_grad_aa,bool,0,0.0,2
annotator_education_college_grad_ba,bool,0,0.0,2
annotator_education_professional_degree,bool,0,0.0,2
annotator_education_masters,bool,0,0.0,2
annotator_education_phd,bool,0,0.0,2
annotator_income_<10k,bool,0,0.0,2
annotator_income_10k-50k,bool,0,0.0,2
annotator_income_50k-100k,bool,0,0.0,2
annotator_income_100k-200k,bool,0,0.0,2
annotator_income_>200k,bool,0,0.0,2
annotator_ideology_extremeley_conservative,bool,0,0.0,2
annotator_ideology_conservative,bool,0,0.0,2
annotator_ideology_slightly_conservative,bool,0,0.0,2
annotator_ideology_neutral,bool,0,0.0,2
annotator_ideology_slightly_liberal,bool,0,0.0,2
annotator_ideology_liberal,bool,0,0.0,2
annotator_ideology_extremeley_liberal,bool,0,0.0,1
annotator_ideology_no_opinion,bool,0,0.0,2
annotator_race_asian,bool,0,0.0,2
annotator_race_black,bool,0,0.0,2
annotator_race_latinx,bool,0,0.0,2
annotator_race_middle_eastern,bool,0,0.0,2
annotator_race_native_american,bool,0,0.0,2
annotator_race_pacific_islander,bool,0,0.0,2
annotator_race_white,bool,0,0.0,2
annotator_race_other,bool,0,0.0,2
annotator_age,float64,105,0.08,63
annotator_religion_atheist,bool,0,0.0,2
annotator_religion_buddhist,bool,0,0.0,2
annotator_religion_christian,bool,0,0.0,2
annotator_religion_hindu,bool,0,0.0,2
annotator_religion_jewish,bool,0,0.0,2
annotator_religion_mormon,bool,0,0.0,2
annotator_religion_muslim,bool,0,0.0,2
annotator_religion_nothing,bool,0,0.0,2
annotator_religion_other,bool,0,0.0,2
annotator_sexuality_bisexual,bool,0,0.0,2
annotator_sexuality_gay,bool,0,0.0,2
annotator_sexuality_straight,bool,0,0.0,2
annotator_sexuality_other,bool,0,0.0,2
